subj,,cb,trialNum,phase,x,group,y
2122,diff,2,7,2,3,similarity,18.02612288
2122,diff,2,8,2,2,similarity,28.24870052
2122,diff,2,9,2,11,similarity,49.23363988
2122,diff,2,10,2,10,similarity,50.013328
2122,diff,2,11,2,5,similarity,49.49353592
2126,diff,2,1,2,3,similarity,0
2126,diff,2,2,2,4,similarity,98.67917052
2126,diff,2,3,2,10,similarity,47.88667283
2126,diff,2,4,2,2,similarity,28.05441817
2126,diff,2,5,2,6,similarity,99.26033549
2126,diff,2,6,2,1,similarity,28.12045965
2126,diff,2,7,2,9,similarity,48.8574825
2126,diff,2,8,2,7,similarity,99.77545899
2126,diff,2,9,2,11,similarity,48.33575485
2126,diff,2,10,2,8,similarity,99.51789724
2126,diff,2,11,2,5,similarity,0
2130,diff,2,1,2,8,similarity,100
2130,diff,2,2,2,2,similarity,0
2130,diff,2,3,2,3,similarity,0
2130,diff,2,4,2,11,similarity,49.32852275
2130,diff,2,5,2,7,similarity,100
2130,diff,2,6,2,10,similarity,48.93432218
2130,diff,2,7,2,1,similarity,13.8371083
2130,diff,2,8,2,4,similarity,50.24386985
2130,diff,2,9,2,9,similarity,50.11024253
2130,diff,2,10,2,6,similarity,93.43221755
2130,diff,2,11,2,5,similarity,99.17819202
2150,diff,2,1,2,10,similarity,19.1138486
2150,diff,2,2,2,6,similarity,99.96688522
2150,diff,2,3,2,4,similarity,0.066229552
2150,diff,2,4,2,5,similarity,100
2150,diff,2,5,2,1,similarity,0.066229552
2150,diff,2,6,2,7,similarity,99.54301609
2150,diff,2,7,2,2,similarity,0.066229552
2150,diff,2,8,2,9,similarity,0
2150,diff,2,9,2,8,similarity,99.28472084
2150,diff,2,10,2,3,similarity,0
2150,diff,2,11,2,11,similarity,0.132459103
2158,diff,2,1,2,8,similarity,99.09523181
2158,diff,2,2,2,2,similarity,8.895786554
2158,diff,2,3,2,3,similarity,0.158499538
2158,diff,2,4,2,4,similarity,9.285431251
2158,diff,2,5,2,7,similarity,90.15321622
2158,diff,2,6,2,10,similarity,48.91691983
2158,diff,2,7,2,5,similarity,4.418174614
2158,diff,2,8,2,6,similarity,0.059437327
2158,diff,2,9,2,1,similarity,3.156782459
2158,diff,2,10,2,9,similarity,3.737947431
2158,diff,2,11,2,11,similarity,0
