exp,freq_var,group,subj,x,trial,y
3,variable,fixed,9,1,1,1
3,variable,fixed,9,1,2,1
3,variable,fixed,9,1,3,1
3,variable,fixed,9,1,4,1
3,variable,fixed,9,1,5,1
3,variable,fixed,9,1,6,1
3,variable,fixed,9,1,7,1
3,variable,fixed,9,1,8,0
3,variable,fixed,9,1,9,1
3,variable,fixed,9,1,10,1
3,variable,fixed,9,1,11,1
3,variable,fixed,9,1,12,1
3,variable,fixed,9,2,1,1
3,variable,fixed,9,2,2,1
3,variable,fixed,9,2,3,1
3,variable,fixed,9,2,4,1
3,variable,fixed,9,2,5,1
3,variable,fixed,9,2,6,1
3,variable,fixed,9,2,7,1
3,variable,fixed,9,2,8,1
3,variable,fixed,9,2,9,1
3,variable,fixed,9,2,10,1
3,variable,fixed,9,2,11,1
3,variable,fixed,9,2,12,1
3,variable,fixed,9,3,1,0
3,variable,fixed,9,3,2,0
3,variable,fixed,9,3,3,0
3,variable,fixed,9,3,4,0
3,variable,fixed,9,3,5,0
3,variable,fixed,9,3,6,0
3,variable,fixed,9,3,7,1
3,variable,fixed,9,3,8,1
3,variable,fixed,9,3,9,1
3,variable,fixed,9,3,10,1
3,variable,fixed,9,3,11,1
3,variable,fixed,9,3,12,1
3,variable,fixed,9,4,1,0
3,variable,fixed,9,4,2,0
3,variable,fixed,9,4,3,0
3,variable,fixed,9,4,4,0
3,variable,fixed,9,4,5,0
3,variable,fixed,9,4,6,0
3,variable,fixed,9,4,7,1
3,variable,fixed,9,4,8,1
3,variable,fixed,9,4,9,1
3,variable,fixed,9,4,10,1
3,variable,fixed,9,4,11,1
3,variable,fixed,9,4,12,1
3,variable,fixed,9,5,1,0
3,variable,fixed,9,5,2,0
3,variable,fixed,9,5,3,0
3,variable,fixed,9,5,4,0
3,variable,fixed,9,5,5,0
3,variable,fixed,9,5,6,0
3,variable,fixed,9,5,7,1
3,variable,fixed,9,5,8,1
3,variable,fixed,9,5,9,0
3,variable,fixed,9,5,10,0
3,variable,fixed,9,5,11,1
3,variable,fixed,9,5,12,1
3,variable,fixed,9,6,1,1
3,variable,fixed,9,6,2,1
3,variable,fixed,9,6,3,0
3,variable,fixed,9,6,4,0
3,variable,fixed,9,6,5,0
3,variable,fixed,9,6,6,0
3,variable,fixed,9,6,7,1
3,variable,fixed,9,6,8,1
3,variable,fixed,9,6,9,1
3,variable,fixed,9,6,10,1
3,variable,fixed,9,6,11,1
3,variable,fixed,9,6,12,1
3,variable,fixed,10,0,1,1
3,variable,fixed,10,0,2,1
3,variable,fixed,10,0,3,0
3,variable,fixed,10,0,4,1
3,variable,fixed,10,0,5,1
3,variable,fixed,10,0,6,1
3,variable,fixed,10,0,7,1
3,variable,fixed,10,0,8,1
3,variable,fixed,10,0,9,1
3,variable,fixed,10,0,10,1
3,variable,fixed,10,0,11,1
3,variable,fixed,10,0,12,1
3,variable,fixed,10,1,1,0
3,variable,fixed,10,1,2,1
3,variable,fixed,10,1,3,0
3,variable,fixed,10,1,4,1
3,variable,fixed,10,1,5,1
3,variable,fixed,10,1,6,0
3,variable,fixed,10,1,7,1
3,variable,fixed,10,1,8,1
3,variable,fixed,10,1,9,1
3,variable,fixed,10,1,10,1
3,variable,fixed,10,1,11,1
3,variable,fixed,10,1,12,1
3,variable,fixed,10,2,1,0
3,variable,fixed,10,2,2,1
3,variable,fixed,10,2,3,0
3,variable,fixed,10,2,4,1
3,variable,fixed,10,2,5,1
3,variable,fixed,10,2,6,1
3,variable,fixed,10,2,7,1
3,variable,fixed,10,2,8,0
3,variable,fixed,10,2,9,1
3,variable,fixed,10,2,10,1
3,variable,fixed,10,2,11,1
3,variable,fixed,10,2,12,1
3,variable,fixed,10,3,1,1
3,variable,fixed,10,3,2,0
3,variable,fixed,10,3,3,0
3,variable,fixed,10,3,4,0
3,variable,fixed,10,3,5,1
3,variable,fixed,10,3,6,1
3,variable,fixed,10,3,7,0
3,variable,fixed,10,3,8,1
3,variable,fixed,10,3,9,1
3,variable,fixed,10,3,10,1
3,variable,fixed,10,3,11,1
3,variable,fixed,10,3,12,0
3,variable,fixed,10,4,1,0
3,variable,fixed,10,4,2,0
3,variable,fixed,10,4,3,0
3,variable,fixed,10,4,4,0
3,variable,fixed,10,4,5,0
3,variable,fixed,10,4,6,1
3,variable,fixed,10,4,7,0
3,variable,fixed,10,4,8,1
3,variable,fixed,10,4,9,1
3,variable,fixed,10,4,10,1
3,variable,fixed,10,4,11,1
3,variable,fixed,10,4,12,1
3,variable,fixed,10,5,1,1
3,variable,fixed,10,5,2,0
